id,name,kind,class,source,asm,min_arch,cond,out_type,out_ctype,in_types,in_streams,in_bytes,out_bytes,n_vectors,insns_v73,insns_v75,insns_v79,insns_v81
0,ieee.Q6_Vhf_vabs_Vhf,ieee,ieee_form,Q6_Vhf_vabs_Vhf,Vd32.hf=vabs(Vu32.hf),68,__HVX_ARCH__ >= 73,hf,V,hf//,hf_a/none/none,128/0/0,128,4096,v0.hf = vabs(v0.hf),v0.hf = vabs(v0.hf),v0.hf = vabs(v0.hf),v0.hf = vabs(v0.hf)
1,cc.Q6_Vhf_vabs_Vhf,cc,ieee_form,Q6_Vhf_vabs_Vhf,Vd32.hf=vabs(Vu32.hf),68,__HVX_ARCH__ >= 73,hf,V,hf//,hf_a/none/none,128/0/0,128,4096,v0.hf = vabs(v0.hf),v0.hf = vabs(v0.hf),"r2 = #0x7fff | v1.h = vsplat(r2) | v0 = vand(v0,v1)",v1.qf16 = vabs(v0.hf) | v0.hf = v1.qf16
2,ieee.Q6_Vsf_vabs_Vsf,ieee,ieee_form,Q6_Vsf_vabs_Vsf,Vd32.sf=vabs(Vu32.sf),68,__HVX_ARCH__ >= 73,sf,V,sf//,sf_a/none/none,128/0/0,128,4096,v0.sf = vabs(v0.sf),v0.sf = vabs(v0.sf),v0.sf = vabs(v0.sf),v0.sf = vabs(v0.sf)
3,cc.Q6_Vsf_vabs_Vsf,cc,ieee_form,Q6_Vsf_vabs_Vsf,Vd32.sf=vabs(Vu32.sf),68,__HVX_ARCH__ >= 73,sf,V,sf//,sf_a/none/none,128/0/0,128,4096,v0.sf = vabs(v0.sf),v0.sf = vabs(v0.sf),"immext(#0x7fffffc0) ; r2 = ##0x7fffffff | v1 = vsplat(r2) | v0 = vand(v0,v1)",v1.qf32 = vabs(v0.sf) | v0.sf = v1.qf32
4,Q6_Vb_vabs_Vb_sat,insn,int_round,Q6_Vb_vabs_Vb_sat,Vd32.b=vabs(Vu32.b):sat,65,__HVX_ARCH__ >= 73,b,V,b//,int_a/none/none,128/0/0,128,1024,v0.b = vabs(v0.b):sat,v0.b = vabs(v0.b):sat,v0.b = vabs(v0.b):sat,v0.b = vabs(v0.b):sat
5,Q6_Vh_vabs_Vh_sat,insn,int_round,Q6_Vh_vabs_Vh_sat,Vd32.h=vabs(Vu32.h):sat,60,__HVX_ARCH__ >= 73,h,V,h//,int_a/none/none,128/0/0,128,1024,v0.h = vabs(v0.h):sat,v0.h = vabs(v0.h):sat,v0.h = vabs(v0.h):sat,v0.h = vabs(v0.h):sat
6,Q6_Vw_vabs_Vw_sat,insn,int_round,Q6_Vw_vabs_Vw_sat,Vd32.w=vabs(Vu32.w):sat,60,__HVX_ARCH__ >= 73,w,V,w//,int_a/none/none,128/0/0,128,1024,v0.w = vabs(v0.w):sat,v0.w = vabs(v0.w):sat,v0.w = vabs(v0.w):sat,v0.w = vabs(v0.w):sat
7,Q6_Vqf16_vadd_VhfVhf,insn,qf_arith,Q6_Vqf16_vadd_VhfVhf,"Vd32.qf16=vadd(Vu32.hf,Vv32.hf)",68,__HVX_ARCH__ >= 73,qf16,V,hf/hf/,hf_a/hf_b/none,128/128/0,128,4096,"v0.qf16 = vadd(v0.hf,v1.hf)","v0.qf16 = vadd(v0.hf,v1.hf)","v0.qf16 = vadd(v0.hf,v1.hf)","v0.qf16 = vadd(v0.hf,v1.hf)"
8,ieee.Q6_Vhf_vadd_VhfVhf,ieee,ieee_form,Q6_Vhf_vadd_VhfVhf,"Vd32.hf=vadd(Vu32.hf,Vv32.hf)",68,__HVX_ARCH__ >= 73,hf,V,hf/hf/,hf_a/hf_b/none,128/128/0,128,4096,"v0.hf = vadd(v0.hf,v1.hf)","v0.hf = vadd(v0.hf,v1.hf)","v0.hf = vadd(v0.hf,v1.hf)","v0.hf = vadd(v0.hf,v1.hf)"
9,cc.Q6_Vhf_vadd_VhfVhf,cc,ieee_form,Q6_Vhf_vadd_VhfVhf,"Vd32.hf=vadd(Vu32.hf,Vv32.hf)",68,__HVX_ARCH__ >= 73,hf,V,hf/hf/,hf_a/hf_b/none,128/128/0,128,4096,"v0.hf = vadd(v0.hf,v1.hf)","v0.hf = vadd(v0.hf,v1.hf)","v2.qf16 = vadd(v0.hf,v1.hf) | v0.hf = v2.qf16","v2.qf16 = vadd(v0.hf,v1.hf) | v0.hf = v2.qf16"
10,Q6_Vqf16_vadd_Vqf16Vqf16,insn,qf_arith,Q6_Vqf16_vadd_Vqf16Vqf16,"Vd32.qf16=vadd(Vu32.qf16,Vv32.qf16)",68,__HVX_ARCH__ >= 73,qf16,V,qf16/qf16/,qf16_a/qf16_b/none,128/128/0,128,4096,"v0.qf16 = vadd(v0.qf16,v1.qf16)","v0.qf16 = vadd(v0.qf16,v1.qf16)","v0.qf16 = vadd(v0.qf16,v1.qf16)","v0.qf16 = vadd(v0.qf16,v1.qf16)"
11,Q6_Vqf16_vadd_Vqf16Vhf,insn,qf_arith,Q6_Vqf16_vadd_Vqf16Vhf,"Vd32.qf16=vadd(Vu32.qf16,Vv32.hf)",68,__HVX_ARCH__ >= 73,qf16,V,qf16/hf/,qf16_a/hf_b/none,128/128/0,128,4096,"v0.qf16 = vadd(v0.qf16,v1.hf)","v0.qf16 = vadd(v0.qf16,v1.hf)","v0.qf16 = vadd(v0.qf16,v1.hf)","v0.qf16 = vadd(v0.qf16,v1.hf)"
12,Q6_Vqf32_vadd_Vqf32Vqf32,insn,qf_arith,Q6_Vqf32_vadd_Vqf32Vqf32,"Vd32.qf32=vadd(Vu32.qf32,Vv32.qf32)",68,__HVX_ARCH__ >= 73,qf32,V,qf32/qf32/,qf32_a/qf32_b/none,128/128/0,128,4096,"v0.qf32 = vadd(v0.qf32,v1.qf32)","v0.qf32 = vadd(v0.qf32,v1.qf32)","v0.qf32 = vadd(v0.qf32,v1.qf32)","v0.qf32 = vadd(v0.qf32,v1.qf32)"
13,Q6_Vqf32_vadd_Vqf32Vsf,insn,qf_arith,Q6_Vqf32_vadd_Vqf32Vsf,"Vd32.qf32=vadd(Vu32.qf32,Vv32.sf)",68,__HVX_ARCH__ >= 73,qf32,V,qf32/sf/,qf32_a/sf_b/none,128/128/0,128,4096,"v0.qf32 = vadd(v0.qf32,v1.sf)","v0.qf32 = vadd(v0.qf32,v1.sf)","v0.qf32 = vadd(v0.qf32,v1.sf)","v0.qf32 = vadd(v0.qf32,v1.sf)"
14,Q6_Vqf32_vadd_VsfVsf,insn,qf_arith,Q6_Vqf32_vadd_VsfVsf,"Vd32.qf32=vadd(Vu32.sf,Vv32.sf)",68,__HVX_ARCH__ >= 73,qf32,V,sf/sf/,sf_a/sf_b/none,128/128/0,128,4096,"v0.qf32 = vadd(v0.sf,v1.sf)","v0.qf32 = vadd(v0.sf,v1.sf)","v0.qf32 = vadd(v0.sf,v1.sf)","v0.qf32 = vadd(v0.sf,v1.sf)"
15,ieee.Q6_Wsf_vadd_VhfVhf,ieee,ieee_form,Q6_Wsf_vadd_VhfVhf,"Vdd32.sf=vadd(Vu32.hf,Vv32.hf)",68,__HVX_ARCH__ >= 73,sf,W,hf/hf/,hf_a/hf_b/none,128/128/0,256,4096,"v1:0.sf = vadd(v0.hf,v1.hf)","v1:0.sf = vadd(v0.hf,v1.hf)","v1:0.sf = vadd(v0.hf,v1.hf)","v1:0.sf = vadd(v0.hf,v1.hf)"
16,cc.Q6_Wsf_vadd_VhfVhf,cc,ieee_form,Q6_Wsf_vadd_VhfVhf,"Vdd32.sf=vadd(Vu32.hf,Vv32.hf)",68,__HVX_ARCH__ >= 73,sf,W,hf/hf/,hf_a/hf_b/none,128/128/0,256,4096,"v1:0.sf = vadd(v0.hf,v1.hf)","v1:0.sf = vadd(v0.hf,v1.hf)","r2 = #0x3c00 | v2.h = vsplat(r2) | v5:4.qf32 = vmpy(v1.hf,v2.hf) | v29:28.qf32 = vmpy(v0.hf,v2.hf) | v4.qf32 = vadd(v28.qf32,v4.qf32) ; v3.qf32 = vadd(v29.qf32,v5.qf32) | v0.sf = v4.qf32 ; v1.sf = v3.qf32","r2 = #0x3c00 | v2.h = vsplat(r2) | v5:4.qf32 = vmpy(v1.hf,v2.hf) | v31:30.qf32 = vmpy(v0.hf,v2.hf) | v4.qf32 = vadd(v30.qf32,v4.qf32) ; v3.qf32 = vadd(v31.qf32,v5.qf32) | v0.sf = v4.qf32 ; v1.sf = v3.qf32"
17,ieee.Q6_Vsf_vadd_VsfVsf,ieee,ieee_form,Q6_Vsf_vadd_VsfVsf,"Vd32.sf=vadd(Vu32.sf,Vv32.sf)",68,__HVX_ARCH__ >= 73,sf,V,sf/sf/,sf_a/sf_b/none,128/128/0,128,4096,"v0.sf = vadd(v0.sf,v1.sf)","v0.sf = vadd(v0.sf,v1.sf)","v0.sf = vadd(v0.sf,v1.sf)","v0.sf = vadd(v0.sf,v1.sf)"
18,cc.Q6_Vsf_vadd_VsfVsf,cc,ieee_form,Q6_Vsf_vadd_VsfVsf,"Vd32.sf=vadd(Vu32.sf,Vv32.sf)",68,__HVX_ARCH__ >= 73,sf,V,sf/sf/,sf_a/sf_b/none,128/128/0,128,4096,"v0.sf = vadd(v0.sf,v1.sf)","v0.sf = vadd(v0.sf,v1.sf)","v2.qf32 = vadd(v0.sf,v1.sf) | v0.sf = v2.qf32","v2.qf32 = vadd(v0.sf,v1.sf) | v0.sf = v2.qf32"
